Mario_Tarrant | Стрельба по коллегам и гражданам в мэрии | 1 степень | Sam Hale
Andrea_Colombo | Беспричинная стрельба по гражданам | 1 степень | Sam Hale
Alex_Dios | Нападение на жителей штата | 1 степень | Sam Hale
Makson_Sokolov | Нападение на жителей штата | 1 степень | Sam Hale
Daniel_Gatto | Бред и мат в /f рацию | 1 степень | Sam Hale
Katana_Mantana | ДМ + прогул раб.Дня | 1 степень | Sam Hale
Samael_Starchenko | ТК, кража ТС | 1 степень | Sam Hale
Franklin_BeeJay | Мат , Стрельба по сотрудникам МВД | 1 степень | Sam Hale
Kirill_Evseev | Прогул рабочего дня , стрельба по коллегам | 1 степень | Sam Hale
Roberto_McLaren | Бред + Неадекват | 1 степень | Sam Hale
Albert_Cornette | Кража ТС | 1 степень | Sam Hale
Hatsune_Yuichi | Кража ТС | 1 степень | Sam Hale
Ivan_Guse | Стрельба по гражданам и сотрудникам мэрии | 1 степень | Sam Hale
Gevorg_Meloyan | Стрельба по сотрудникам МВД | 1 степень | Sam Hale
Mallboro_Creighton | Нарушение контракта | 1 степень | Sam Hale
Leonardo_Barrington | Кража ТС + Прогул раб.дня. | 1 степень | Sam Hale
Dima_Alfa | Стрельба по сотрудникам мэрии и гражданам | 1 степень | Sam Hale
Denys_Atlin | Стрельба по сотрудникам Мэрии | 1 степень | Sam Hale
Lin_Esclade | Кража ТС + Угроза жизни президента | 1 степень | Sam Hale
John_Stafford | TK, неадекватное поведение | 1 степень | Jesus Wayne
Sam_Gregor | Бред и оскорбления в рацию /f, неадекватное поведение | 1 степень | Jesus Wayne
Carlo_Capaccio | Прогул раб.дня + неадекватное поведение | 1 степень | Jesus Wayne
Ivan_Panfilov | Прогул раб.дня + игра в казино в раб.время | 1 степень | Jesus Wayne
Vasiliy_Korkesk | Мат в общую волну | 1 степень | Eva Scarantino
Teodor_Hendeson | Стрельба без причины | 1 степень | Eva Scarantino
Alah_Muhmadovuch | Стрельба без причины | 1 степень | Eva Scarantino
Geronimo_Olivers | Стрельба без причины | 1 степень | Eva Scarantino
Battista_Scarantino | Нарушение контракта | 1 степень | Eva Scarantino
Leonardo_Dente | Нарушение контракта | 1 степень | Eva Scarantino
Chris_Desper | Прогул рабочего дня в казино | 1 степень | Eva Scarantino
Frank_Casey | Прогул рабочего дня в казино | 1 степень | Eva Scarantino
Jesus_Flores | Нарушение контракта | 1 степень | Eva Scarantino
Aleksandr_Pupeev | Игра в казино во время рабочего дня | 1 степень | Derek Hale
Alberto_Marconi | Неадекватное поведение, нападение на жителей штата | 1 степень | Derek Hale
Muhammed_Ali | Нападение на сотрудников Правительства | 1 степень | Derek Hale
Denis_Titov | Неадекватное поведение | 1 степень | Derek Hale
Fernando_Bacardi | Нарушение реформ Президента | 1 степень | Derek Hale
John_Simmons | Неадекватное поведение | 1 степень | Derek Hale
Robert_Clement | Неадекватное поведение | 1 степень | Derek Hale
Pan_Polak | Неадекватное поведение | 1 степень | Derek Hale
Pablo_Yilson | Неадекватное поведение | 1 степень | Derek Hale
Light_Bennett | Неадекватное поведение | 1 степень | Derek Hale
Dominick_Bennett | Неадекватное поведение | 1 степень | Derek Hale
Dego_Remis | Игра в казино в рабочее время | 1 степень | Derek Hale
Nikola_Rocca | Прогул рабочего дня | 1 степень | Derek Hale
Vladimir_Guliaev | Прогул рабочего дня | 1 степень | Derek Hale
Anay_Topre | Прогул рабочего дня | 1 степень | Derek Hale
Mortalios_Dalglish | Кража служебного т/с | 1 степень | Derek Hale
Nikits_Demero | Кража служебного т/с | 1 степень | Derek Hale
Boris_Kildyaev | Кража служебного т/с | 1 степень | Derek Hale
Michael_King | Неадекватное поведение | 1 степень | Derek Hale
Ashot_Vardanyan | Прогул рабочего дня | 1 степень | Derek Hale
Kenji_Yamashita | Прогул рабочего дня | 1 степень | Derek Hale
Mikhail_Manuylov | Неадекватное поведение | 1 степень | Derek Hale
Evgeniy_Kymkin | Неадекватное поведение | 1 степень | Derek Hale
Tito_Martino | Неадекватное поведение | 1 степень | Derek Hale
Milka_Puwer | Неадекватное поведение | 1 степень | Derek Hale
Dmitri_Uvin | Неадекватное поведение | 1 степень | Derek Hale
Tobby_Magvaer | Прогул рабочего дня | 1 степень | Derek Hale
Yuto_Sakurai | Нападение на гражданских | 1 степень | Andy Queenston
Yukio_Sakyrai | Нападение на гражданских | 1 степень | Andy Queenston
Jackson_Davidson | Не прошел исп.срок | 1 степень | Andy Queenston
Amato_Carlini | Увольнение после 1 зарплаты | 1 степень | Andy Queenston
Darius_Cassini | Увольнение после 1 зарплаты | 1 степень | Andy Queenston
Don_DeBona | Увольнение после 1 зарплаты | 1 степень | Andy Queenston
Nastya_Navalova | Увольнение после 1 зарплаты | 1 степень | Andy Queenston
Sultan_Heyderov | Прогул раб.дня | 1 степень | Andy Queenston
John_Grost | Нападение | 1 степень | Andy Queenston
Egor_Panin | Не прошел исп.срок | 1 степень | Andy Queenston
Denis_Uteshev | Не прошел исп.срок | 1 степень | Andy Queenston
Oleg_Antonov | Стрельба | 1 степень | Andy Queenston
Gosha_Shklayrov | Неадекватное поведение | 1 степень | William Hale
Denny_Dallas | Оскорбление гражданских | 1 степень | Christopher Grava
Valentin_Kovtun | Не прошёл исп. срок | 1 степень | Christopher Grava
Kir_Bulahev | Не прошёл исп. срок | 1 степень | Christopher Grava
Antonio_Rossi | Не прошёл исп. срок | 1 степень | Christopher Grava
Jeyson_Edge | Не прошёл исп. срок | 1 степень | Christopher Grava
Griss_Vashinkton | Не прошёл исп. срок | 1 степень | Christopher Grava
Fred_Milton | Нападение на гражданских | 1 степень | Igor Prizrak
Alberto_Richi | Неадекватность | 1 степень | Igor Prizrak
Marcus_Henry | Нападение на гражданских | 1 степень | Igor Prizrak
Kelvin_Makormik | Нападение на гражданских | 1 степень | Igor Prizrak
Easy_Fox | Не прошёл исп.срок | 1 степень | Igor Prizrak
Nikita_Fresh | Нападение на гражданских | 1 степень | Igor Prizrak
Andrey_Efimovich | Нападение на гражданских | 1 степень | Igor Prizrak
Wiz_Howard | Не прошёл исп.срок | 1 степень | Igor Prizrak
Raffael_Hernandez | Не прошёл исп.срок | 1 степень | Igor Prizrak
Jenya_Nekludov | Не прошёл исп.срок | 1 степень | Igor Prizrak
Matvey_Umanskiy | Не прошёл исп.срок | 1 степень | Igor Prizrak
Vettorio_Clemente | Не прошёл исп.срок | 1 степень | Igor Prizrak
Tai_Tanaka | Не прошёл исп.срок | 1 степень | Igor Prizrak
Jason_Sanchez | Нападение на коллег | 1 степень | Igor Prizrak
Denches Ashanov | Не прошёл исп.срок | 1 степень | Igor Prizrak
Abdul Anverovitch | Не прошёл исп.срок | 1 степень | Igor Prizrak
Carlo Gambino | Не прошёл исп.срок | 1 степень | Igor Prizrak
Mario Wood | Не прошёл исп.срок | 1 степень | Igor Prizrak
Vladik Romanov | Не прошёл исп.срок | 1 степень | Igor Prizrak
Willam Hale | Нарушение устава | 1 степень | Igor Prizrak
Kim Fuzuki | Нарушение устава | 1 степень | Igor Prizrak
Lares Diaz | Нарушение устава | 1 степень | Igor Prizrak
Kostya Killer | Нарушение устава | 1 степень | Igor Prizrak
William Grote | Нарушение устава | 1 степень | Igor Prizrak
Donatello Inzaghi | Не прошёл исп.срок | 1 степень | Igor Prizrak
Vasiliy Goloborodko | Не прошёл исп.срок | 1 степень | Igor Prizrak
Steve Lamborgini | Не прошёл исп.срок | 1 степень | Igor Prizrak
Jason Sanchez | Неадекватное поведение | 1 степень | Igor Prizrak
Roberto Damico | Неадекватное поведение | 1 степень | Igor Prizrak
Kiril Korkesk | Не прошёл исп.срок | 1 степень | Igor Prizrak
Mau Willson | Не прошёл исп.срок | 1 степень | Igor Prizrak
Nikolas Williams | Нападение на гражданских | 1 степень | Igor Prizrak
Anna Creator | Не прошёл исп.срок | 1 степень | Igor Prizrak
Ura Voron | Кража служебного Т/С | 1 степень | Igor Prizrak
Fabio Salvati | Кража служебного Т/С + казино в раб.время | 1 степень | Igor Prizrak
Dimitrii Doronin | Не прошёл исп.срок | 1 степень | Igor Prizrak
Dmitry DeMaur | Не прошёл исп.срок | 1 степень | Igor Prizrak
Denis Kostrov | Не прошёл исп.срок | 1 степень | Christopher Grava
Tomme Damico | Не прошёл исп.срок | 1 степень | Christopher Grava
Jerardo_Corleone | Нарушение устава | 1 степень | Christopher Grava
Kirill Matveev | Не прошёл исп.срок | 1 степень | Christopher Grava
Fernando Rogson | Не прошёл исп.срок | 1 степень | Igor Prizrak
Rocky Velasco | Не прошёл исп.срок | 1 степень | Igor Prizrak
Luisa Ferarri | Не прошёл исп.срок | 1 степень | Igor Prizrak
Hanzo Urushihara | Нападение на гражданских | 1 степень | Igor Prizrak
Albert Minligareev | Нападение на гражданских | 1 степень | Christopher Grava
Domenico Russo | Стрельба в автомобиль гражданского + т/с не по должности для личных целей | 1 степень | Igor Prizrak
Mateo Ferrari | Многоразовая стрельба в автомобиль гражданского | 1 степень | Igor Prizrak
Oleg Smolin | Не прошёл исп.срок | 1 степень | Igor Prizrak
Tima Dybala | Игра в казино в раб. время | 1 степень | Igor Prizrak
Jorge Elip | Не прошёл исп.срок | 1 степень | Igor Prizrak
Alex_Rols | Стрельба по сотрудникам Администрации. | 1 степень | Sam Hale
Kirill_Averio | Стрельба по сотрудникам мэрии | 1 степени | Sam Hale
Anrdon_Faradeew | Кража ТС | 1 степень | Sam Hale
Kenji_Fujihama | Порча имущества в итоге чего пострадал человек. | 1 степень | Sam Hale
Marik_Bruno | Нарушение контракта | 1 степень | Sam Hale
Anrdon_Faradeew | Кража ТС | 1 степень | Sam Hale
Steven_Ward | Порча рации + Мат в общую волну | 1 степень | Sam Hale
Leha_Rozhko | Попытка обмана начальства | 1 степень | Sam Hale
Roman_Voznyuk | Кража ТС, мат в рацию, неадекватное поведение | 1 степень | Jesus Wayne
Kolan_Bender | Воровство оружия из амуниции мэрии | 1 степень | Den Belov
Denis_Chiklikchit | ТК, неадекватное поведение | 1 степень | Eva Scarantino
Roman_Salinder | Стрельба без причины | 1 степень | Den Belov
Alexey_Emelin | Нарушения условия контракта | 1 степень | Den Belov
Martin_Avilla | Бред в рацию. | 1 степень | Eva Scarantino
Federico_Rodriquez | Убийство граждан | 1 степень | Eva Scarantino
Misha_Broono| Стрельба в Мэрии | 1 степень | Eva Scarantino
Santiago_Delgado | флуд в /f | 1 степень | Eva Scarantino
Aaron Winston | Флуд в /f | 1 степень | Eva Scarantino
Maks_Amanatov |Нарушение контракта, бред в рацию | 1 степень | Eva Scarantino
William_Perry | Неадекватное поведение | 1 степень | Eva Scarantino
Aleksandr_Fomin | Стрельба по сотрудникам | 1 степень | Eva Scarantino
Maximiliano_Rayt | Нарушение устава | 1 степень | Eva Scarantino
Semen_Romakov | Неадекватное поведение, нападение на сотрудника МВД | 1 степень | Derek Hale
Gena_Ekskovator | Кража служебного транспорта мэрии | 1 степень | Derek Hale
Grigory_Manuylov | Неадекватное поведение | 1 степень | Derek Hale
Poma_Oce | Неадекватное поведение | 1 степень | Derek Hale
Yuki_Sakata | Кража служебного т/с | 1 степень | Derek Hale
Vadim_Lombardo | Нападение на сотрудников Правительства, будучи сотрудником мэрии | 1 степень | Derek Hale
Angel_Jeffrey | Кража служебного т/с | 1 степень | Derek Hale
Gongzta_Brown | Неадекватное поведение | 1 степень | Derek Hale
Mark_Larson | Неадекватное поведение | 1 степень | Derek Hale
Rustem_Mukhin | Неадекватное поведение | 1 степень | Derek Hale
Mince_Abato | Неадекватное поведение | 1 степень | Derek Hale
Misha_Aslamazyan | Кража служебного Т/С | 1 cтепень | Luigi Barbarossa
Daniil Evseenko | Неадекватное поведение | 1 степень | Luigi Barbarossa
Stepan_Alennikov | Неадекватное поведение | 1 степень | Luigi Barbarossa
Jay Graves | Неадекватное поведение | 1 степень | Luigi Barbarossa
Artem Soroka | Неадекватное поведение | 1 степень | Luigi Barbarossa
Lucas McDillers | Игнорирование рации | 1 степень | Luigi Barbarossa
Jimmy Grimes | Неадекватное поведение | 1 степень | Luigi Barbarossa
Justin_Coleman | Неадекватное поведение | 1 степень | Luigi Barbarossa
Yura_Veselov | Кража служебного Т/С | 1 cтепень | Luigi Barbarossa
Vladislav_Novolodski | Неадекватное поведение после увольнения | 1 степень | Luigi Barbarossa
Nastya Kissova | Неадекватное поведение | 1 степень | Luigi Barbarossa
Igor Lebedev | Прогул раб.дня | 1 степень | Luigi Barbarossa
Malboro Jeesus | Нарушение трудового договора | 1 степень | Luigi Barbarossa
Vlad Svitov | Нарушение трудового договора | 1 степень | Luigi Barbarossa
Richi Jeferson | Не прошел исп.срок | 1 степень | William Hale
Denis Leporskiy| Не прошел исп.срок | 1 степень | William Hale
Diana Volkova | Кража служебного Транспортного Средства | 1 степень | William Hale
Rihi Torino | Прогул рабочего дня | 1 степень | William Hale
Timur Toyota | Прогул рабочего дня | 1 степень | William Hale
Andrea Cardini| Не прошел исп.срок | 1 степень | William Hale
James Ricci | Увольнение после 1 зарплаты | 1 степень | Andy Queenston
Alexey Zakharov | Не прошел исп.срок | 1 степень | Andy Queenston
Dmitri Kirov | Нападение на гражданских, оскорбления | 1 степень | Andy Queenston
Alessandro DelPiero | Нападение на гражданских | 1 степень | Andy Queenston
Vanya Zelenyak | Нападение на гражданских | 1 степень | Andy Queenston
Tomas Winhc | Оскорбление вице-президента | 1 степень | Luigi Barbarossa
Pavel Vorovskiy | Кража служебного Т/С | 1 cтепень | Luigi Barbarossa
Michael_Milton | Прогул раб.дня | 1 степень | Luigi Barbarossa
Anderi Maranello | Прогул раб.дня | 1 степень | Luigi Barbarossa
Sasha Ivashenko | Неадекватное поведение | 1 степень | Luigi Barbarossa
Kevin Macalister | Неадекватное поведение | 1 степень | Luigi Barbarossa
Maksim Safin | Нарушение трудового договора | 1 степень | Luigi Barbarossa
Kent Black | Нарушение трудового договора | 1 степень | Luigi Barbarossa
Danil Tumanow | Неадеватное поведение | 1 степень | Luigi Barbarossa
Tomas Cruz | Нарушение трудового договора | 1 степень | Luigi Barbarossa
Lucas Miller | Неадеватное поведение | 1 степень | Luigi Barbarossa 
Alessandro Conti | Нарушение трудового договора | 1 степень | Luigi Barbarossa 
Lucas Bacardi | Кража служебного Т/С | 1 cтепень | Luigi Barbarossa
Orlando_Silano | Нарушение трудового договора | 1 степень | Luigi Barbarossa
Miha Carlo | Неадекватное поведение | 1 степень | Luigi Barbarossa
Harry Edman | Не прошёл исп.срок | 1 степень | Christopher Grava
Yurii Ryzhkov | Не прошёл исп.срок | 1 степень | Christopher Grava
Miroslav Filimonov | Не прошёл исп.срок | 1 степень | Christopher Grava
Alexander Becker | Не прошёл исп.срок | 1 степень | Christopher Grava
Tamir Kushkhov | Не прошёл исп.срок | 1 степень | Christopher Grava
Yamata Kenzo | Не прошёл исп.срок | 1 степень | Christopher Grava
Karl Bruno | Не прошёл исп.срок | 1 степень | Christopher Grava
Hayato Sato | Не прошёл исп.срок | 1 степень | Christopher Grava
Kody Jons | Не прошёл исп. срок | 1 степень | Christopher Grava
Sezha Jenison | Не прошёл исп. срок | 1 степень | Christopher Grava
Antonio_Rossi | Не прошёл исп. срок | 1 степень | Christopher Grava
Maks_Shoup | Не прошёл исп. срок | 1 степень | Christopher Grava
Danil_Spiridonov | Не прошёл исп. срок | 1 степень | Christopher Grava
Keiichi_Maebara | Игнорирование приказов Мэра | 1 степень | Christopher Grava
Egor Veretennikov | Нападение на гражданских | 1 степень | Christopher Grava
Serena Esposito | Прогул рабочего дня | 1 степень | Christopher Grava
Alessandro Dugatto | Не прошёл исп. срок | 1 степень | Christopher Grava
Oleg Korshunov | Игнорирование рации + прогул рабочего дня | 1 степень | Christopher Grava
Angel Gucci | Нападение на гражданских | 1 степень | Christopher Grava
Kevin Bellrich | Игнорирование рации + прогул рабочего дня | 1 степень | Christopher Grava
Adrian Batman | Не прошёл исп. срок | 1 степень | Christopher Grava
Sergey Varichev | Не прошёл исп. срок | 1 степень | Christopher Grava
Don Darginec | Нападение на гражданских | 1 степень | Christopher Grava
